year,round,race,track,date,driver,constructor,qualifying_position,position,points
2015,1,Australian Grand Prix,Albert Park Grand Prix Circuit,2015-03-15,Felipe Massa,Williams,3.0,4,12.0
2015,1,Australian Grand Prix,Albert Park Grand Prix Circuit,2015-03-15,Carlos Sainz,Toro Rosso,8.0,9,2.0
2015,1,Australian Grand Prix,Albert Park Grand Prix Circuit,2015-03-15,Valtteri Bottas,Williams,6.0,18,0.0
2015,2,Malaysian Grand Prix,Sepang International Circuit,2015-03-29,Valtteri Bottas,Williams,9.0,5,10.0
2015,2,Malaysian Grand Prix,Sepang International Circuit,2015-03-29,Felipe Massa,Williams,7.0,6,8.0
2015,2,Malaysian Grand Prix,Sepang International Circuit,2015-03-29,Carlos Sainz,Toro Rosso,15.0,8,4.0
2015,3,Chinese Grand Prix,Shanghai International Circuit,2015-04-12,Felipe Massa,Williams,4.0,5,10.0
2015,3,Chinese Grand Prix,Shanghai International Circuit,2015-04-12,Valtteri Bottas,Williams,5.0,6,8.0
2015,3,Chinese Grand Prix,Shanghai International Circuit,2015-04-12,Carlos Sainz,Toro Rosso,14.0,13,0.0
2015,4,Bahrain Grand Prix,Bahrain International Circuit,2015-04-19,Valtteri Bottas,Williams,5.0,4,12.0
2015,4,Bahrain Grand Prix,Bahrain International Circuit,2015-04-19,Felipe Massa,Williams,6.0,10,1.0
2015,4,Bahrain Grand Prix,Bahrain International Circuit,2015-04-19,Carlos Sainz,Toro Rosso,9.0,19,0.0
2015,5,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2015-05-10,Valtteri Bottas,Williams,4.0,4,12.0
2015,5,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2015-05-10,Felipe Massa,Williams,9.0,6,8.0
2015,5,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2015-05-10,Carlos Sainz,Toro Rosso,5.0,9,2.0
2015,6,Monaco Grand Prix,Circuit de Monaco,2015-05-24,Carlos Sainz,Toro Rosso,8.0,10,1.0
2015,6,Monaco Grand Prix,Circuit de Monaco,2015-05-24,Valtteri Bottas,Williams,17.0,14,0.0
2015,6,Monaco Grand Prix,Circuit de Monaco,2015-05-24,Felipe Massa,Williams,14.0,15,0.0
2015,7,Canadian Grand Prix,Circuit Gilles Villeneuve,2015-06-07,Valtteri Bottas,Williams,4.0,3,15.0
2015,7,Canadian Grand Prix,Circuit Gilles Villeneuve,2015-06-07,Felipe Massa,Williams,17.0,6,8.0
2015,7,Canadian Grand Prix,Circuit Gilles Villeneuve,2015-06-07,Carlos Sainz,Toro Rosso,11.0,12,0.0
2015,8,Austrian Grand Prix,Red Bull Ring,2015-06-21,Felipe Massa,Williams,4.0,3,15.0
2015,8,Austrian Grand Prix,Red Bull Ring,2015-06-21,Valtteri Bottas,Williams,6.0,5,10.0
2015,8,Austrian Grand Prix,Red Bull Ring,2015-06-21,Carlos Sainz,Toro Rosso,13.0,16,0.0
2015,9,British Grand Prix,Silverstone Circuit,2015-07-05,Felipe Massa,Williams,3.0,4,12.0
2015,9,British Grand Prix,Silverstone Circuit,2015-07-05,Valtteri Bottas,Williams,4.0,5,10.0
2015,9,British Grand Prix,Silverstone Circuit,2015-07-05,Carlos Sainz,Toro Rosso,8.0,14,0.0
2015,10,Hungarian Grand Prix,Hungaroring,2015-07-26,Felipe Massa,Williams,8.0,12,0.0
2015,10,Hungarian Grand Prix,Hungaroring,2015-07-26,Valtteri Bottas,Williams,6.0,13,0.0
2015,10,Hungarian Grand Prix,Hungaroring,2015-07-26,Carlos Sainz,Toro Rosso,12.0,17,0.0
2015,11,Belgian Grand Prix,Circuit de Spa-Francorchamps,2015-08-23,Felipe Massa,Williams,7.0,6,8.0
2015,11,Belgian Grand Prix,Circuit de Spa-Francorchamps,2015-08-23,Valtteri Bottas,Williams,3.0,9,2.0
2015,11,Belgian Grand Prix,Circuit de Spa-Francorchamps,2015-08-23,Carlos Sainz,Toro Rosso,10.0,17,0.0
2015,12,Italian Grand Prix,Autodromo Nazionale di Monza,2015-09-06,Felipe Massa,Williams,5.0,3,15.0
2015,12,Italian Grand Prix,Autodromo Nazionale di Monza,2015-09-06,Valtteri Bottas,Williams,6.0,4,12.0
2015,12,Italian Grand Prix,Autodromo Nazionale di Monza,2015-09-06,Carlos Sainz,Toro Rosso,13.0,11,0.0
2015,13,Singapore Grand Prix,Marina Bay Street Circuit,2015-09-20,Valtteri Bottas,Williams,7.0,5,10.0
2015,13,Singapore Grand Prix,Marina Bay Street Circuit,2015-09-20,Carlos Sainz,Toro Rosso,14.0,9,2.0
2015,13,Singapore Grand Prix,Marina Bay Street Circuit,2015-09-20,Felipe Massa,Williams,9.0,19,0.0
2015,14,Japanese Grand Prix,Suzuka Circuit,2015-09-27,Valtteri Bottas,Williams,3.0,5,10.0
2015,14,Japanese Grand Prix,Suzuka Circuit,2015-09-27,Carlos Sainz,Toro Rosso,12.0,10,1.0
2015,14,Japanese Grand Prix,Suzuka Circuit,2015-09-27,Felipe Massa,Williams,5.0,17,0.0
2015,15,Russian Grand Prix,Sochi Autodrom,2015-10-11,Felipe Massa,Williams,15.0,4,12.0
2015,15,Russian Grand Prix,Sochi Autodrom,2015-10-11,Valtteri Bottas,Williams,3.0,12,0.0
2015,15,Russian Grand Prix,Sochi Autodrom,2015-10-11,Carlos Sainz,Toro Rosso,,16,0.0
2015,16,United States Grand Prix,Circuit of the Americas,2015-10-25,Carlos Sainz,Toro Rosso,20.0,7,6.0
2015,16,United States Grand Prix,Circuit of the Americas,2015-10-25,Felipe Massa,Williams,9.0,17,0.0
2015,16,United States Grand Prix,Circuit of the Americas,2015-10-25,Valtteri Bottas,Williams,12.0,19,0.0
2015,17,Mexican Grand Prix,Autódromo Hermanos Rodríguez,2015-11-01,Valtteri Bottas,Williams,6.0,3,15.0
2015,17,Mexican Grand Prix,Autódromo Hermanos Rodríguez,2015-11-01,Felipe Massa,Williams,7.0,6,8.0
2015,17,Mexican Grand Prix,Autódromo Hermanos Rodríguez,2015-11-01,Carlos Sainz,Toro Rosso,11.0,13,0.0
2015,18,Brazilian Grand Prix,Autódromo José Carlos Pace,2015-11-15,Valtteri Bottas,Williams,4.0,5,10.0
2015,18,Brazilian Grand Prix,Autódromo José Carlos Pace,2015-11-15,Carlos Sainz,Toro Rosso,12.0,19,0.0
2015,18,Brazilian Grand Prix,Autódromo José Carlos Pace,2015-11-15,Felipe Massa,Williams,8.0,20,0.0
2015,19,Abu Dhabi Grand Prix,Yas Marina Circuit,2015-11-29,Felipe Massa,Williams,8.0,8,4.0
2015,19,Abu Dhabi Grand Prix,Yas Marina Circuit,2015-11-29,Carlos Sainz,Toro Rosso,10.0,11,0.0
2015,19,Abu Dhabi Grand Prix,Yas Marina Circuit,2015-11-29,Valtteri Bottas,Williams,6.0,13,0.0
2016,1,Australian Grand Prix,Albert Park Grand Prix Circuit,2016-03-20,Felipe Massa,Williams,6.0,5,10.0
2016,1,Australian Grand Prix,Albert Park Grand Prix Circuit,2016-03-20,Valtteri Bottas,Williams,11.0,8,4.0
2016,1,Australian Grand Prix,Albert Park Grand Prix Circuit,2016-03-20,Carlos Sainz,Toro Rosso,7.0,9,2.0
2016,2,Bahrain Grand Prix,Bahrain International Circuit,2016-04-03,Felipe Massa,Williams,7.0,8,4.0
2016,2,Bahrain Grand Prix,Bahrain International Circuit,2016-04-03,Valtteri Bottas,Williams,6.0,9,2.0
2016,2,Bahrain Grand Prix,Bahrain International Circuit,2016-04-03,Carlos Sainz,Toro Rosso,11.0,18,0.0
2016,3,Chinese Grand Prix,Shanghai International Circuit,2016-04-17,Felipe Massa,Williams,11.0,6,8.0
