round,race,track,date,driver,constructor,qualifying_position,position,points
1,Bahrain Grand Prix,Bahrain International Circuit,2023-03-05,Carlos Sainz,Ferrari,4,4,12.0
1,Bahrain Grand Prix,Bahrain International Circuit,2023-03-05,Alexander Albon,Williams,15,10,1.0
1,Bahrain Grand Prix,Bahrain International Circuit,2023-03-05,Logan Sargeant,Williams,16,12,0.0
2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,2023-03-19,Carlos Sainz,Ferrari,5,6,8.0
2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,2023-03-19,Logan Sargeant,Williams,20,16,0.0
2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,2023-03-19,Alexander Albon,Williams,17,19,0.0
3,Australian Grand Prix,Albert Park Grand Prix Circuit,2023-04-02,Carlos Sainz,Ferrari,5,12,0.0
3,Australian Grand Prix,Albert Park Grand Prix Circuit,2023-04-02,Logan Sargeant,Williams,18,16,0.0
3,Australian Grand Prix,Albert Park Grand Prix Circuit,2023-04-02,Alexander Albon,Williams,8,19,0.0
4,Azerbaijan Grand Prix,Baku City Circuit,2023-04-30,Carlos Sainz,Ferrari,4,5,10.0
4,Azerbaijan Grand Prix,Baku City Circuit,2023-04-30,Alexander Albon,Williams,13,12,0.0
4,Azerbaijan Grand Prix,Baku City Circuit,2023-04-30,Logan Sargeant,Williams,15,16,0.0
5,Miami Grand Prix,Miami International Autodrome,2023-05-07,Carlos Sainz,Ferrari,3,5,10.0
5,Miami Grand Prix,Miami International Autodrome,2023-05-07,Alexander Albon,Williams,11,14,0.0
5,Miami Grand Prix,Miami International Autodrome,2023-05-07,Logan Sargeant,Williams,20,20,0.0
6,Monaco Grand Prix,Circuit de Monaco,2023-05-28,Carlos Sainz,Ferrari,5,8,4.0
6,Monaco Grand Prix,Circuit de Monaco,2023-05-28,Alexander Albon,Williams,13,14,0.0
6,Monaco Grand Prix,Circuit de Monaco,2023-05-28,Logan Sargeant,Williams,16,18,0.0
7,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2023-06-04,Carlos Sainz,Ferrari,2,5,10.0
7,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2023-06-04,Alexander Albon,Williams,18,16,0.0
7,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2023-06-04,Logan Sargeant,Williams,20,20,0.0
8,Canadian Grand Prix,Circuit Gilles Villeneuve,2023-06-18,Carlos Sainz,Ferrari,8,5,10.0
8,Canadian Grand Prix,Circuit Gilles Villeneuve,2023-06-18,Alexander Albon,Williams,10,7,6.0
8,Canadian Grand Prix,Circuit Gilles Villeneuve,2023-06-18,Logan Sargeant,Williams,19,20,0.0
9,Austrian Grand Prix,Red Bull Ring,2023-07-02,Carlos Sainz,Ferrari,3,6,8.0
9,Austrian Grand Prix,Red Bull Ring,2023-07-02,Alexander Albon,Williams,10,11,0.0
9,Austrian Grand Prix,Red Bull Ring,2023-07-02,Logan Sargeant,Williams,18,13,0.0
10,British Grand Prix,Silverstone Circuit,2023-07-09,Alexander Albon,Williams,8,8,4.0
10,British Grand Prix,Silverstone Circuit,2023-07-09,Carlos Sainz,Ferrari,5,10,1.0
10,British Grand Prix,Silverstone Circuit,2023-07-09,Logan Sargeant,Williams,14,11,0.0
11,Hungarian Grand Prix,Hungaroring,2023-07-23,Carlos Sainz,Ferrari,11,8,4.0
11,Hungarian Grand Prix,Hungaroring,2023-07-23,Alexander Albon,Williams,16,11,0.0
11,Hungarian Grand Prix,Hungaroring,2023-07-23,Logan Sargeant,Williams,20,18,0.0
12,Belgian Grand Prix,Circuit de Spa-Francorchamps,2023-07-30,Alexander Albon,Williams,16,14,0.0
12,Belgian Grand Prix,Circuit de Spa-Francorchamps,2023-07-30,Logan Sargeant,Williams,18,17,0.0
12,Belgian Grand Prix,Circuit de Spa-Francorchamps,2023-07-30,Carlos Sainz,Ferrari,5,19,0.0
13,Dutch Grand Prix,Circuit Park Zandvoort,2023-08-27,Carlos Sainz,Ferrari,6,5,10.0
13,Dutch Grand Prix,Circuit Park Zandvoort,2023-08-27,Alexander Albon,Williams,4,8,4.0
13,Dutch Grand Prix,Circuit Park Zandvoort,2023-08-27,Logan Sargeant,Williams,10,20,0.0
14,Italian Grand Prix,Autodromo Nazionale di Monza,2023-09-03,Carlos Sainz,Ferrari,1,3,15.0
14,Italian Grand Prix,Autodromo Nazionale di Monza,2023-09-03,Alexander Albon,Williams,6,7,6.0
14,Italian Grand Prix,Autodromo Nazionale di Monza,2023-09-03,Logan Sargeant,Williams,15,13,0.0
15,Singapore Grand Prix,Marina Bay Street Circuit,2023-09-17,Carlos Sainz,Ferrari,1,1,25.0
15,Singapore Grand Prix,Marina Bay Street Circuit,2023-09-17,Alexander Albon,Williams,14,11,0.0
15,Singapore Grand Prix,Marina Bay Street Circuit,2023-09-17,Logan Sargeant,Williams,18,14,0.0
16,Japanese Grand Prix,Suzuka Circuit,2023-09-24,Carlos Sainz,Ferrari,6,6,8.0
16,Japanese Grand Prix,Suzuka Circuit,2023-09-24,Alexander Albon,Williams,13,16,0.0
16,Japanese Grand Prix,Suzuka Circuit,2023-09-24,Logan Sargeant,Williams,20,17,0.0
17,Qatar Grand Prix,Losail International Circuit,2023-10-08,Alexander Albon,Williams,14,13,0.0
17,Qatar Grand Prix,Losail International Circuit,2023-10-08,Logan Sargeant,Williams,16,18,0.0
17,Qatar Grand Prix,Losail International Circuit,2023-10-08,Carlos Sainz,Ferrari,12,20,0.0
18,United States Grand Prix,Circuit of the Americas,2023-10-22,Carlos Sainz,Ferrari,4,3,15.0
18,United States Grand Prix,Circuit of the Americas,2023-10-22,Alexander Albon,Williams,18,9,2.0
18,United States Grand Prix,Circuit of the Americas,2023-10-22,Logan Sargeant,Williams,20,10,1.0
19,Mexico City Grand Prix,Autódromo Hermanos Rodríguez,2023-10-29,Carlos Sainz,Ferrari,2,4,12.0
19,Mexico City Grand Prix,Autódromo Hermanos Rodríguez,2023-10-29,Alexander Albon,Williams,14,9,2.0
19,Mexico City Grand Prix,Autódromo Hermanos Rodríguez,2023-10-29,Logan Sargeant,Williams,20,16,0.0
20,São Paulo Grand Prix,Autódromo José Carlos Pace,2023-11-05,Carlos Sainz,Ferrari,8,6,8.0
20,São Paulo Grand Prix,Autódromo José Carlos Pace,2023-11-05,Logan Sargeant,Williams,19,11,0.0
20,São Paulo Grand Prix,Autódromo José Carlos Pace,2023-11-05,Alexander Albon,Williams,15,19,0.0
21,Las Vegas Grand Prix,Las Vegas Strip Street Circuit,2023-11-19,Carlos Sainz,Ferrari,2,6,8.0
21,Las Vegas Grand Prix,Las Vegas Strip Street Circuit,2023-11-19,Alexander Albon,Williams,6,12,0.0
21,Las Vegas Grand Prix,Las Vegas Strip Street Circuit,2023-11-19,Logan Sargeant,Williams,7,16,0.0
22,Abu Dhabi Grand Prix,Yas Marina Circuit,2023-11-26,Alexander Albon,Williams,14,14,0.0
22,Abu Dhabi Grand Prix,Yas Marina Circuit,2023-11-26,Logan Sargeant,Williams,20,16,0.0
22,Abu Dhabi Grand Prix,Yas Marina Circuit,2023-11-26,Carlos Sainz,Ferrari,16,18,0.0
