year,round,race,track,date,driver,constructor,qualifying_position,position,points
2025,1,Australian Grand Prix,Albert Park Circuit,2025-03-16,Alexander Albon,Williams,6,5,10.0
2025,2,Chinese Grand Prix,Shanghai International Circuit,2025-03-23,Alexander Albon,Williams,10,7,6.0
2025,2,Chinese Grand Prix,Shanghai International Circuit,2025-03-23,Carlos Sainz,Williams,10,10,1.0
2025,3,Japanese Grand Prix,Suzuka Circuit,2025-04-06,Alexander Albon,Williams,9,9,2.0
2025,3,Saudi Arabian Grand Prix,King Saud University Circuit,2025-04-20,Carlos Sainz,Williams,9,8,4.0
2025,4,Bahrain Grand Prix,Bahrain International Circuit,2025-04-13,Alexander Albon,Williams,15,12,0.0
2025,4,Miami Grand Prix,Miami International Autodrome,2025-05-04,Carlos Sainz,Williams,13,9,2.0
2025,5,Saudi Arabian Grand Prix,Jeddah Street Circuit,2025-04-20,Alexander Albon,Williams,11,9,2.0
2025,6,Miami Grand Prix,Miami International Autodrome,2025-05-04,Alexander Albon,Williams,5,5,10.0
2025,7,Emilia-Romagna Grand Prix,Imola Circuit,2025-05-18,Alexander Albon,Williams,7,5,10.0
2025,7,Emilia-Romagna Grand Prix,Imola Circuit,2025-05-18,Carlos Sainz,Williams,6,8,4.0
2025,6,Monaco Grand Prix,Circuit de Monaco,2025-05-25,Alexander Albon,Williams,9,9,2
2025,6,Monaco Grand Prix,Circuit de Monaco,2025-05-25,Carlos Sainz Jr.,Williams,10,10,1
